0_n_1_ori,0_w_1_ori,2_w_1_ori,2_s_1_ori,3_n_1_ori,5_s_1_ori,6_n_1_ori,10_s_1_ori,12_s_1_ori,13_n_1_ori,13_e_1_ori,14_e_1_ori,16_e_1_ori,16_s_1_ori
3,2.5,3,1.5,2.5,3,2.5,3,1.5,2.5,2.5,3,1.5,2.5
3.5,3.5,1.5,2.5,3.5,3.5,3.5,1.5,2.5,3.5,3.5,1.5,2.5,3.5
2.5,4,1.5,2.5,4,2.5,4,1.5,2.5,4,4,1.5,2.5,4
3,4,1,3,4,3,4,1,3,4,4,1,3,4
3,3.5,3,1.5,3.5,3,3.5,3,1.5,3.5,3.5,3,1.5,3.5
3,2.5,4,1.5,2.5,3,2.5,4,1.5,2.5,2.5,4,1.5,2.5
3,4.5,2,1,4.5,3,4.5,2,1,4.5,4.5,2,1,4.5
1.5,4,4,1.5,4,1.5,4,4,1.5,4,4,4,1.5,4
3.5,2.5,1.5,3.5,2.5,3.5,2.5,1.5,3.5,2.5,2.5,1.5,3.5,2.5
6,3,6,7,3,6,3,6,7,3,3,6,7,3
6,7,5,3,7,6,7,5,3,7,7,5,3,7
9,6,3,4,6,9,6,3,4,6,6,3,4,6
10,4,4,4,4,10,4,4,4,4,4,4,4,4
7,7,5,3,7,7,7,5,3,7,7,5,3,7
7,5,3,6,5,7,5,3,6,5,5,3,6,5
5,4,4,8,4,5,4,4,8,4,4,4,8,4
8,3,6,6,3,8,3,6,6,3,3,6,6,3
8,6,5,3,6,8,6,5,3,6,6,5,3,6
10,7,3,1,7,10,7,3,1,7,7,3,1,7
3.5,4.5,3,0,4.5,3.5,4.5,3,0,4.5,4.5,3,0,4.5
2,6,1.5,1.5,6,2,6,1.5,1.5,6,6,1.5,1.5,6
3.5,2,3,2,2,3.5,2,3,2,2,2,3,2,2
1.5,4.5,2.5,2.5,4.5,1.5,4.5,2.5,2.5,4.5,4.5,2.5,2.5,4.5
3.5,4,3,0.5,4,3.5,4,3,0.5,4,4,3,0.5,4
2.5,2,4.5,2,2,2.5,2,4.5,2,2,2,4.5,2,2
2.5,3.5,3,1.5,3.5,2.5,3.5,3,1.5,3.5,3.5,3,1.5,3.5
1.5,4,3,2.5,4,1.5,4,3,2.5,4,4,3,2.5,4
3.5,2.5,3.5,1.5,2.5,3.5,2.5,3.5,1.5,2.5,2.5,3.5,1.5,2.5
3.5,2.5,3,2,2.5,3.5,2.5,3,2,2.5,2.5,3,2,2.5
4,7,6,4,7,4,7,6,4,7,7,6,4,7
7,6,5,4,6,7,6,5,4,6,6,5,4,6
5,6,6,4,6,5,6,6,4,6,6,6,4,6
4,10,3,5,10,4,10,3,5,10,10,3,5,10
9,6,3,4,6,9,6,3,4,6,6,3,4,6
7,3,6,5,3,7,3,6,5,3,3,6,5,3
6,5,7,4,5,6,5,7,4,5,5,7,4,5
4,4,11,2,4,4,4,11,2,4,4,11,2,4
7,7,4,4,7,7,7,4,4,7,7,4,4,7
8,8,5,0,8,8,8,5,0,8,8,5,0,8
3,10,8,1,10,3,10,8,1,10,10,8,1,10
3,2.5,3,1.5,2.5,3,2.5,3,1.5,2.5,2.5,3,1.5,2.5
3.5,3.5,1.5,2.5,3.5,3.5,3.5,1.5,2.5,3.5,3.5,1.5,2.5,3.5
2.5,4,1.5,2.5,4,2.5,4,1.5,2.5,4,4,1.5,2.5,4
3,4,1,3,4,3,4,1,3,4,4,1,3,4
3,3.5,3,1.5,3.5,3,3.5,3,1.5,3.5,3.5,3,1.5,3.5
3,2.5,4,1.5,2.5,3,2.5,4,1.5,2.5,2.5,4,1.5,2.5
3,4.5,2,1,4.5,3,4.5,2,1,4.5,4.5,2,1,4.5
1.5,4,4,1.5,4,1.5,4,4,1.5,4,4,4,1.5,4
3.5,2.5,1.5,3.5,2.5,3.5,2.5,1.5,3.5,2.5,2.5,1.5,3.5,2.5
6,3,6,7,3,6,3,6,7,3,3,6,7,3
6,7,5,3,7,6,7,5,3,7,7,5,3,7
9,6,3,4,6,9,6,3,4,6,6,3,4,6
10,4,4,4,4,10,4,4,4,4,4,4,4,4
7,7,5,3,7,7,7,5,3,7,7,5,3,7
7,5,3,6,5,7,5,3,6,5,5,3,6,5
5,4,4,8,4,5,4,4,8,4,4,4,8,4
8,3,6,6,3,8,3,6,6,3,3,6,6,3
8,6,5,3,6,8,6,5,3,6,6,5,3,6
10,7,3,1,7,10,7,3,1,7,7,3,1,7
3.5,4.5,3,0,4.5,3.5,4.5,3,0,4.5,4.5,3,0,4.5
2,6,1.5,1.5,6,2,6,1.5,1.5,6,6,1.5,1.5,6
3.5,2,3,2,2,3.5,2,3,2,2,2,3,2,2
1.5,4.5,2.5,2.5,4.5,1.5,4.5,2.5,2.5,4.5,4.5,2.5,2.5,4.5
3.5,4,3,0.5,4,3.5,4,3,0.5,4,4,3,0.5,4
2.5,2,4.5,2,2,2.5,2,4.5,2,2,2,4.5,2,2
2.5,3.5,3,1.5,3.5,2.5,3.5,3,1.5,3.5,3.5,3,1.5,3.5
1.5,4,3,2.5,4,1.5,4,3,2.5,4,4,3,2.5,4
3.5,2.5,3.5,1.5,2.5,3.5,2.5,3.5,1.5,2.5,2.5,3.5,1.5,2.5
3.5,2.5,3,2,2.5,3.5,2.5,3,2,2.5,2.5,3,2,2.5
4,7,6,4,7,4,7,6,4,7,7,6,4,7
7,6,5,4,6,7,6,5,4,6,6,5,4,6
5,6,6,4,6,5,6,6,4,6,6,6,4,6
4,10,3,5,10,4,10,3,5,10,10,3,5,10
9,6,3,4,6,9,6,3,4,6,6,3,4,6
7,3,6,5,3,7,3,6,5,3,3,6,5,3
6,5,7,4,5,6,5,7,4,5,5,7,4,5
4,4,11,2,4,4,4,11,2,4,4,11,2,4
7,7,4,4,7,7,7,4,4,7,7,4,4,7
8,8,5,0,8,8,8,5,0,8,8,5,0,8
3,10,8,1,10,3,10,8,1,10,10,8,1,10
3,2.5,3,1.5,2.5,3,2.5,3,1.5,2.5,2.5,3,1.5,2.5
3.5,3.5,1.5,2.5,3.5,3.5,3.5,1.5,2.5,3.5,3.5,1.5,2.5,3.5
2.5,4,1.5,2.5,4,2.5,4,1.5,2.5,4,4,1.5,2.5,4
3,4,1,3,4,3,4,1,3,4,4,1,3,4
3,3.5,3,1.5,3.5,3,3.5,3,1.5,3.5,3.5,3,1.5,3.5
3,2.5,4,1.5,2.5,3,2.5,4,1.5,2.5,2.5,4,1.5,2.5
3,4.5,2,1,4.5,3,4.5,2,1,4.5,4.5,2,1,4.5
1.5,4,4,1.5,4,1.5,4,4,1.5,4,4,4,1.5,4
3.5,2.5,1.5,3.5,2.5,3.5,2.5,1.5,3.5,2.5,2.5,1.5,3.5,2.5
6,3,6,7,3,6,3,6,7,3,3,6,7,3
6,7,5,3,7,6,7,5,3,7,7,5,3,7
9,6,3,4,6,9,6,3,4,6,6,3,4,6
10,4,4,4,4,10,4,4,4,4,4,4,4,4
7,7,5,3,7,7,7,5,3,7,7,5,3,7
7,5,3,6,5,7,5,3,6,5,5,3,6,5
5,4,4,8,4,5,4,4,8,4,4,4,8,4
8,3,6,6,3,8,3,6,6,3,3,6,6,3
8,6,5,3,6,8,6,5,3,6,6,5,3,6
10,7,3,1,7,10,7,3,1,7,7,3,1,7
3.5,4.5,3,0,4.5,3.5,4.5,3,0,4.5,4.5,3,0,4.5
2,6,1.5,1.5,6,2,6,1.5,1.5,6,6,1.5,1.5,6
3.5,2,3,2,2,3.5,2,3,2,2,2,3,2,2
1.5,4.5,2.5,2.5,4.5,1.5,4.5,2.5,2.5,4.5,4.5,2.5,2.5,4.5
3.5,4,3,0.5,4,3.5,4,3,0.5,4,4,3,0.5,4
2.5,2,4.5,2,2,2.5,2,4.5,2,2,2,4.5,2,2
2.5,3.5,3,1.5,3.5,2.5,3.5,3,1.5,3.5,3.5,3,1.5,3.5
1.5,4,3,2.5,4,1.5,4,3,2.5,4,4,3,2.5,4
3.5,2.5,3.5,1.5,2.5,3.5,2.5,3.5,1.5,2.5,2.5,3.5,1.5,2.5
3.5,2.5,3,2,2.5,3.5,2.5,3,2,2.5,2.5,3,2,2.5
4,7,6,4,7,4,7,6,4,7,7,6,4,7
7,6,5,4,6,7,6,5,4,6,6,5,4,6
5,6,6,4,6,5,6,6,4,6,6,6,4,6
4,10,3,5,10,4,10,3,5,10,10,3,5,10
9,6,3,4,6,9,6,3,4,6,6,3,4,6
7,3,6,5,3,7,3,6,5,3,3,6,5,3
6,5,7,4,5,6,5,7,4,5,5,7,4,5
4,4,11,2,4,4,4,11,2,4,4,11,2,4
7,7,4,4,7,7,7,4,4,7,7,4,4,7
8,8,5,0,8,8,8,5,0,8,8,5,0,8
3,10,8,1,10,3,10,8,1,10,10,8,1,10
